Date,Oil volume (m3/day),Volume of liquid (m3/day),Gas volume (m3/day),Water volume (m3/day),Water cut (%) ,Working hours,Dynamic level (m),Reservoir pressure (atm)
2013-01-01,49,70,13055,21,29,24,1819,214
2013-01-02,49,70,13055,21,29,24,1836,214
2013-01-03,49,70,13055,21,29,24,1788,214
2013-01-04,49,70,13055,21,29,24,1789,214
2013-01-05,44,70,11768,26,36,24,1825,214
2013-01-06,44,70,11768,26,36,24,1781,214
2013-01-07,43,68,11432,25,36,24,1790,214
2013-01-08,43,68,11432,25,36,24,1784,214
2013-01-09,43,68,11432,25,36,24,1831,214
2013-01-10,43,68,11432,25,36,24,1831,214
2013-01-11,43,68,11432,25,36,24,1828,214
2013-01-12,42,68,11253,26,37,24,1761,214
2013-01-13,43,69,11418,26,37,24,1789,214
2013-01-14,43,69,11418,26,37,24,1764,213
2013-01-15,44,71,11749,27,37,24,1764,213
2013-01-16,44,71,11749,27,37,24,1764,213
2013-01-17,44,71,11749,27,37,24,1754,213
2013-01-18,44,71,11749,27,37,24,1763,213
2013-01-19,46,70,12319,24,33,24,1768,213
2013-01-20,46,70,12319,24,33,24,1785,213
2013-01-21,44,70,11768,26,36,24,1788,213
2013-01-22,44,70,11768,26,36,24,1779,213
2013-01-23,44,70,11768,26,36,24,1786,213
2013-01-24,43,69,11600,26,36,24,1769,213
2013-01-25,43,69,11418,26,37,24,1781,213
2013-01-26,43,69,11418,26,37,24,1789,213
2013-01-27,43,69,11418,26,37,24,1785,213
2013-01-28,43,69,11418,26,37,24,1787,213
2013-01-29,43,69,11418,26,37,24,1779,213
2013-01-30,43,69,11418,26,37,24,1780,213
2013-01-31,47,70,12503,23,32,24,1780,213
2013-02-01,47,70,12503,23,32,24,1774,213
2013-02-02,47,72,12671,25,33,24,1766,213
2013-02-03,47,75,12608,28,36,24,1783,213
2013-02-04,47,75,12608,28,36,24,1770,213
2013-02-05,48,76,12776,28,36,24,1781,213
2013-02-06,49,78,13113,29,36,24,1773,213
2013-02-07,49,78,13113,29,36,24,1772,213
2013-02-08,49,78,13113,29,36,24,1764,213
2013-02-09,49,78,13113,29,36,24,1766,212
2013-02-10,48,78,12908,30,37,24,1763,212
2013-02-11,48,78,12908,30,37,24,1783,212
2013-02-12,49,79,13073,30,37,24,1784,212
2013-02-13,46,78,12293,32,40,24,1782,212
2013-02-14,46,78,12293,32,40,24,1793,212
2013-02-15,42,71,11190,29,40,24,1787,212
2013-02-16,41,70,11032,29,40,24,1781,212
2013-02-17,41,70,11032,29,40,24,1783,212
2013-02-18,41,70,11032,29,40,24,1788,212
2013-02-19,45,70,11952,25,35,24,1792,212
2013-02-20,45,70,12136,25,34,24,1794,212
2013-02-21,46,72,12482,26,34,24,1819,212
2013-02-22,47,73,12656,26,34,24,1837,212
2013-02-23,47,73,12656,26,34,24,1830,212
2013-02-24,44,73,11889,29,38,24,1838,212
2013-02-25,44,73,11889,29,38,24,1843,212
2013-02-26,48,74,12829,26,34,24,1854,212
2013-02-27,48,74,12829,26,34,24,1877,212
2013-02-28,47,73,12656,26,34,24,1939,212
2013-03-01,44,73,11889,29,38,24,1843,212
2013-03-02,44,73,11889,29,38,24,1849,212
2013-03-03,45,73,12080,28,37,24,1861,212
2013-03-04,45,73,12080,28,37,24,1832,212
2013-03-05,46,75,12411,29,37,24,1831,212
2013-03-06,46,74,12246,28,37,24,1847,212
2013-03-07,43,74,11663,31,40,24,1845,211
2013-03-08,43,74,11663,31,40,24,1853,211
2013-03-09,43,74,11663,31,40,24,1940,211
2013-03-10,43,74,11663,31,40,24,1852,211
2013-03-11,43,74,11663,31,40,24,1854,211
2013-03-12,43,74,11663,31,40,24,1855,211
2013-03-13,43,74,11663,31,40,24,1861,211
2013-03-14,43,74,11663,31,40,24,1847,211
2013-03-15,43,74,11663,31,40,24,1854,211
2013-03-16,43,74,11663,31,40,24,1823,211
2013-03-17,43,74,11663,31,40,24,1831,211
2013-03-18,45,77,12136,32,40,24,1901,211
2013-03-19,45,77,12136,32,40,24,1887,211
2013-03-20,44,75,11820,31,40,24,1851,211
2013-03-21,45,76,11978,31,40,24,1872,211
2013-03-22,45,77,12136,32,40,24,1869,211
2013-03-23,45,77,12136,32,40,24,1881,211
2013-03-24,43,73,11505,30,40,24,1874,211
2013-03-25,43,74,11663,31,40,24,1863,211
2013-03-26,43,74,11663,31,40,24,1870,211
2013-03-27,43,74,11663,31,40,24,1836,211
2013-03-28,45,77,12136,32,40,24,1853,211
2013-03-29,43,73,11505,30,40,24,1862,211
2013-03-30,43,73,11505,30,40,24,1867,211
2013-03-31,39,73,10546,34,45,24,1862,211
2013-04-01,41,77,11124,36,45,24,1858,211
